"","qbl_var","mbl_var","wbl_var","tl","nestl","it","rwingl","rheadw","reyel","thairl","bsetael","rbtl"
"n48",0.702098023238083,0.617897575042535,0.536092739888526,NA,NA,0.58291614911661,0.980062368786056,0.83283914269046,0.504077467056707,0.385582368024934,0.367963510373478,0.915957849379162
"n49",0.412636906331653,0.784948740594326,0.927177938652068,NA,NA,0.732604382109477,0.369101994212847,0.502935640751272,0.480618047795058,0.553503159616089,0.488748989895984,0.493998328223734
"n50",0.553270403243796,0.587450598791232,0.604554152057128,NA,NA,0.983418797623353,0.568050326718141,1.13742397993431,0.799604246963716,0.619691436835468,0.310232019885807,0.804358463527511
"n51",0.552210317316043,0.365272487003194,0.337637057608652,NA,NA,0.606417713406532,0.424326375682519,0.56026907795804,0.522509900659893,0.622479496686644,0.635220646698207,0.763516462689314
"n52",1.35857701456931,1.29549856700631,0.44898742611785,NA,NA,0.693694455139126,0.566604393826575,0.428285794555548,0.528188216308686,0.993895525411388,0.746110722645846,0.496017597783536
"n53",0.38375383705506,0.358322634856499,0.647668812461313,NA,NA,0.899884616061966,0.332670034492236,0.52014512149438,0.508306231551345,0.4118848246491,0.617684438481779,0.407033166586216
"n54",0.420090497756581,0.595205875725978,0.584066569608252,NA,NA,0.580441966853871,0.288246934330003,0.442598682352238,0.684590156971095,0.608775682644964,0.568042925489965,0.318996303731179
"n55",0.641624856818028,0.667692001373003,0.460240107540876,NA,NA,0.872169108593239,0.849172302132746,0.870936747536839,1.2228874402066,0.42983807925345,1.41010371045318,0.772654938395961
"n56",0.597235240166451,0.570428825111757,0.439801365128256,NA,NA,0.350026489749074,0.751898558695009,0.357150161138173,0.43357836727688,0.485414955057105,0.597366771343614,0.580103552626975
"n57",0.487988832708821,0.480265219796561,0.741907230263029,NA,NA,0.585269995640355,0.758033334237241,0.546234829550022,0.34624080567559,0.665092366710671,0.368446961361762,0.524841431320129
"n58",0.625574517893822,0.465394321314283,0.624307210856949,NA,NA,0.487745511065067,0.738790625077155,0.629747067608328,0.541712057172936,0.656336242285531,0.501465255402123,0.644110012663806
"n59",0.397473562380791,0.898725638321491,0.515356925024069,NA,NA,0.523503866686297,0.353714620689628,0.604420803733453,0.758041711811079,0.89929875411006,0.714693033412931,0.518747025964726
"n60",0.584526840229291,0.64722572453625,1.07278569723616,NA,NA,0.463284397074182,0.76359697541247,0.483273218246288,0.425673865262054,0.548881272657759,0.438315825856904,0.476442508829222
"n61",0.59693904513946,0.662390499169676,0.62841284979177,NA,NA,0.525438345675396,0.671757216437614,0.54179422875518,0.438600075599172,0.702014681158109,0.538438054185674,0.62152878026484
"n62",0.515673820534594,0.863774042292675,0.498705527354481,NA,NA,0.418656345080903,0.526615233374553,0.761142491136363,0.541344783435655,0.584404005747457,0.59119058567367,0.470702010907092
