species,it,wingmc,rwingmc,wingw,rwingw,wingl,rwingl,headw,rheadw,eyew,reyew,eyel,reyel,scapel,rscapel,thairl,bsetael,btl,rbtl,btw,rbtw,wt
B.ternarius,3.2,2.3,0.72,3.3,1.03,8.75,2.73,3.3,1.03,0.8,0.25,2.2,0.69,1.5,0.47,1.33,1.03,3.2,1,1.1,0.34,60.1
B.ternarius,3.3,2.5,0.76,3.8,1.15,10,3.03,3.4,1.03,0.9,0.27,2.25,0.68,1.7,0.52,1.33,1.18,3.5,1.06,1.2,0.36,51.1
B.ternarius,3.5,2.6,0.74,3.9,1.11,9.69,2.77,3.6,1.03,0.9,0.26,2.3,0.66,1.6,0.46,1.47,1.2,3.6,1.03,1.2,0.34,43.3
B.ternarius,3.3,2.5,0.76,4,1.21,9.38,2.84,3.5,1.06,0.9,0.27,2.3,0.7,1.7,0.52,1.4,1.4,3.6,1.09,1.2,0.36,39.8
B.ternarius,3.1,2.4,0.77,3.5,1.13,9.69,3.13,3.2,1.03,0.8,0.26,2.15,0.69,1.5,0.48,1.37,1.15,3.3,1.06,1.1,0.35,37.7
B.ternarius,2.9,2.35,0.81,3.6,1.24,9.38,3.23,3.35,1.16,0.8,0.28,2.2,0.76,1.6,0.55,1.2,1.23,3.7,1.28,1.2,0.41,29.8
B.ternarius,2.7,2.1,0.78,3.3,1.22,8.83,3.27,3.1,1.15,0.8,0.3,2.1,0.78,1.5,0.56,1.43,1.17,3.1,1.15,1.1,0.41,26.1
B.rufocinctus,3.1,2.2,0.71,3.55,1.15,8.91,2.87,3.1,1,0.7,0.23,2.1,0.68,1.5,0.48,1.37,1.08,3.1,1,1,0.32,32.6
B.rufocinctus,3.2,2.2,0.69,3.55,1.11,9.06,2.83,3.2,1,0.8,0.25,2.2,0.69,1.5,0.47,1.33,1.27,3.1,0.97,1,0.31,35.4
B.rufocinctus,3.3,2.4,0.73,3.8,1.15,9.84,2.98,3.4,1.03,0.85,0.26,2.3,0.7,1.7,0.52,1.3,1.27,3.6,1.09,1.1,0.33,40.3
B.rufocinctus,3.2,2.3,0.72,3.5,1.09,9.22,2.88,3.2,1,0.85,0.27,2.1,0.66,1.6,0.5,1.48,1.07,3.2,1,1.1,0.34,29.1
B.rufocinctus,3.3,2.3,0.7,3.75,1.14,9.38,2.84,3.3,1,0.8,0.24,2.15,0.65,1.5,0.45,1.37,1.28,3.3,1,1.2,0.36,31.4
B.rufocinctus,3.5,2.3,0.66,3.6,1.03,9.53,2.72,3.3,0.94,0.8,0.23,2.2,0.63,1.6,0.46,1.53,1.33,3.6,1.03,1.2,0.34,39
B.rufocinctus,3.4,2.3,0.68,3.65,1.07,9.22,2.71,3.3,0.97,0.85,0.25,2.3,0.68,1.5,0.44,1.27,1.23,3.5,1.03,1.2,0.35,34.3
B.rufocinctus,3.3,2.4,0.73,4.1,1.24,9.38,2.84,3.3,1,0.8,0.24,2.3,0.7,1.6,0.48,1.37,1.07,3.2,0.97,1.1,0.33,35.2
B.rufocinctus,3.1,2.3,0.74,3.2,1.03,8.91,2.87,3.2,1.03,0.75,0.24,2.1,0.68,1.5,0.48,1.37,1.23,3.2,1.03,1.1,0.35,32.2
B.rufocinctus,3.2,2.3,0.72,3.5,1.09,9.06,2.83,3.2,1,0.8,0.25,2.05,0.64,1.6,0.5,1.43,1.13,3.4,1.06,1.2,0.38,26.2
B.rufocinctus,3.1,2.2,0.71,3.6,1.16,8.75,2.82,3.3,1.06,0.85,0.27,2.25,0.73,1.6,0.52,1.3,1.13,3.5,1.13,1.2,0.39,47.1
B.rufocinctus,3,2.2,0.73,3.55,1.18,9.06,3.02,3.25,1.08,0.8,0.27,2.2,0.73,1.6,0.53,1.43,1.1,3.5,1.17,1.1,0.37,47.9
B.vagans,3.1,2.6,0.84,3.9,1.26,10,3.23,3.4,1.1,1,0.32,2.4,0.77,1.6,0.52,1.67,1.5,3.6,1.16,1.3,0.42,44.9
B.vagans,2.9,2.5,0.86,4,1.38,10.16,3.5,3.3,1.14,1,0.34,2.4,0.83,1.6,0.55,1.53,1.3,3.4,1.17,1.2,0.41,39.8
B.vagans,3.1,2.9,0.94,4.2,1.35,11.41,3.68,3.55,1.15,1,0.32,2.5,0.81,1.7,0.55,1.57,1.27,3.8,1.23,1.4,0.45,57.9
B.vagans,2.9,2.5,0.86,3.8,1.31,10.16,3.5,3.3,1.14,1,0.34,2.35,0.81,1.55,0.53,1.57,1.07,3.6,1.24,1.1,0.38,41.4
B.vagans,3,2.6,0.87,3.9,1.3,10.63,3.54,3.45,1.15,0.9,0.3,2.4,0.8,1.7,0.57,1.9,1.6,3.6,1.2,1.2,0.4,45.9
B.vagans,2.8,2.65,0.95,4,1.43,10.31,3.68,3.5,1.25,0.9,0.32,2.5,0.89,1.75,0.63,1.5,1.33,3.2,1.14,1.1,0.39,55.8
B.vagans,3.4,2.85,0.84,4.1,1.21,11.72,3.45,3.7,1.09,0.9,0.26,2.55,0.75,1.9,0.56,2,1.33,3.7,1.09,1.2,0.35,81.3
B.vagans,3.2,2.5,0.78,3.7,1.16,10.31,3.22,3.4,1.06,0.9,0.28,2.4,0.75,1.6,0.5,1.63,1.4,3.5,1.09,1.2,0.38,91.7
B.vagans,3.1,2.65,0.85,3.9,1.26,10.63,3.43,3.45,1.11,0.9,0.29,2.35,0.76,1.7,0.55,1.67,1.43,3.7,1.19,1.2,0.39,37.1
B.vagans,3.1,2.6,0.84,4,1.29,10.16,3.28,3.4,1.1,0.9,0.29,2.4,0.77,1.7,0.55,1.67,1.47,3.7,1.19,1.4,0.45,38.5
B.vagans,3,2.6,0.87,3.9,1.3,10,3.33,3.3,1.1,0.9,0.3,2.4,0.8,1.7,0.57,1.67,1.17,3.4,1.13,1.3,0.43,38.4
B.vagans,3.1,2.5,0.81,3.9,1.26,10,3.23,3.4,1.1,0.95,0.31,2.4,0.77,1.65,0.53,1.67,1.2,3.6,1.16,1.2,0.39,41.4
B.flavidus,4.9,4,0.82,6.1,1.24,15,3.06,4.35,0.89,1.1,0.22,2.7,0.55,1.9,0.39,1.97,1.37,5,1.02,1.5,0.31,110.4
B.flavidus,4.4,3.9,0.89,6.3,1.43,14.53,3.3,4.4,1,1.1,0.25,2.7,0.61,1.95,0.44,1.8,1.17,4.8,1.09,1.4,0.32,119.4
B.flavidus,4.8,4,0.83,6.5,1.35,16.56,3.45,4.65,0.97,1.1,0.23,2.8,0.58,2.05,0.43,1.73,1.43,5.4,1.13,1.5,0.31,163.2
B.flavidus,4.5,3.9,0.87,6.2,1.38,13.91,3.09,4.4,0.98,1.1,0.24,2.6,0.58,1.9,0.42,1.6,1.03,4.9,1.09,1.3,0.29,119
B.flavidus,5.2,4.1,0.79,6.3,1.21,16.72,3.22,4.7,0.9,1.2,0.23,2.8,0.54,2.1,0.4,1.73,1.3,5.3,1.02,1.5,0.29,166.6
B.flavidus,4.7,4.15,0.88,6.4,1.36,16.56,3.52,4.6,0.98,1.1,0.23,2.9,0.62,1.95,0.41,1.73,1.33,5,1.06,1.5,0.32,127.2
B.flavidus,4.7,3.95,0.84,6.3,1.34,15.31,3.26,4.5,0.96,1.15,0.24,2.7,0.57,2.05,0.44,1.83,1.4,5.1,1.09,1.5,0.32,143.1
B.flavidus,4.7,3.8,0.81,6.2,1.32,14.06,2.99,4.5,0.96,1.1,0.23,2.65,0.56,2,0.43,1.57,1.17,5,1.06,1.4,0.3,143.5
B.flavidus,4.6,4,0.87,6.1,1.33,15.63,3.4,4.55,0.99,1.1,0.24,2.7,0.59,2,0.43,1.77,1.17,4.9,1.07,1.5,0.33,123.3
B.flavidus,4.9,4.1,0.84,6.2,1.27,16.09,3.28,4.5,0.92,1.1,0.22,2.85,0.58,2.1,0.43,1.9,1.5,5.2,1.06,1.5,0.31,214.8
B.griseocollis,3.9,3.1,0.79,4.8,1.23,12.19,3.13,3.9,1,1,0.26,2.7,0.69,1.9,0.49,1.27,1.17,4,1.03,1.4,0.36,92.5
B.griseocollis,3.9,3.15,0.81,4.9,1.26,12.5,3.21,4.1,1.05,1.1,0.28,2.8,0.72,1.9,0.49,1.3,1.3,4.2,1.08,1.3,0.33,57.4
B.griseocollis,4.4,3.3,0.75,5.2,1.18,12.66,2.88,4.15,0.94,1.2,0.27,2.9,0.66,2,0.45,1.03,1,4.4,1,1.4,0.32,53.1
B.griseocollis,4.3,3.1,0.72,4.9,1.14,12.5,2.91,4,0.93,1.1,0.26,2.7,0.63,1.9,0.44,1,1.07,4.1,0.95,1.6,0.37,83.4
B.griseocollis,4.8,3.6,0.75,5.8,1.21,14.06,2.93,4.4,0.92,1.3,0.27,3.1,0.65,2.1,0.44,1.1,1.33,5,1.04,1.6,0.33,117.4
B.griseocollis,3.9,3.05,0.78,5,1.28,12.5,3.21,3.95,1.01,1.1,0.28,2.8,0.72,1.9,0.49,1.17,1.37,4.1,1.05,1.5,0.38,62.9
B.griseocollis,4.5,3.5,0.78,5.9,1.31,13.91,3.09,4.3,0.96,1.2,0.27,2.9,0.64,2.1,0.47,1.13,1.43,4.4,0.98,1.6,0.36,105.4
B.griseocollis,3.9,3.3,0.85,5.4,1.38,12.97,3.33,4.1,1.05,1.15,0.29,2.9,0.74,2,0.51,1.03,1.2,4.2,1.08,1.5,0.38,69.9
B.griseocollis,3.8,3.1,0.82,4.9,1.29,11.72,3.08,3.8,1,1.1,0.29,2.6,0.68,1.9,0.5,1.13,1.13,4,1.05,1.4,0.37,56.5
B.griseocollis,4.5,3.5,0.78,5.9,1.31,13.59,3.02,4.35,0.97,1.3,0.29,3.1,0.69,2,0.44,1.23,1.23,4.4,0.98,1.6,0.36,109.6
B.pensylvanicus,3.7,3.5,0.95,5.2,1.41,13.28,3.59,3.9,1.05,1.05,0.28,2.75,0.74,1.9,0.51,1.27,1.07,4.4,1.19,1.4,0.38,97
B.pensylvanicus,3.8,3.8,1,5.6,1.47,15,3.95,4.2,1.11,1.1,0.29,2.85,0.75,2.1,0.55,1.27,1.07,4.7,1.24,1.9,0.5,85
B.pensylvanicus,4.7,4.1,0.87,6.4,1.36,15.94,3.39,4.7,1,1.2,0.26,3.3,0.7,2.3,0.49,1.17,1.2,5.7,1.21,1.9,0.4,158.4
B.pensylvanicus,3.4,3.1,0.91,4.9,1.44,12.03,3.54,3.75,1.1,1,0.29,2.6,0.76,1.7,0.5,1.17,1.1,4.1,1.21,1.4,0.41,56
B.pensylvanicus,3.7,3.5,0.95,5.6,1.51,14.06,3.8,4,1.08,1.1,0.3,2.7,0.73,1.9,0.51,1.13,1.17,4.6,1.24,1.6,0.43,67.2
B.pensylvanicus,3.4,3.3,0.97,4.9,1.44,12.97,3.81,3.8,1.12,1.1,0.32,2.6,0.76,1.6,0.47,1.17,0.9,4.3,1.26,1.4,0.41,51.5
B.pensylvanicus,4.4,4,0.91,6.6,1.5,15.78,3.59,4.7,1.07,1.3,0.3,3.15,0.72,2.1,0.48,1.2,1.33,5,1.14,1.8,0.41,115.6
B.pensylvanicus,5.1,4.7,0.92,7.8,1.53,17.66,3.46,5.25,1.03,1.5,0.29,3.6,0.71,2.3,0.45,1.23,1.6,5.7,1.12,2.2,0.43,182.3
